

MI_SI_WLAN_AP_ID,MI_SI_WLAN_AP_Name,MI_SI_Building_Number,MI_SI_WLAN_AP_Hname,MI_SI_WLAN_AP_IP,MI_SI_WLAN_APGroup_Name,MI_SI_WLAN_AP_MAC,MI_SI_WLAN_AP_SN,MI_SI_WLAN_AP_Model,MI_SI_WLAN_AP_Scale,MI_SI_Cabinet_Name,MI_SI_Switch_Name,MI_SI_Switch_IP,MI_SI_SWPort_Interface,MI_SI_Cabling_Number,MI_SI_WLAN_AP_Location,MI_SI_WLAN_AP_Memo02,MI_SI_WLAN_AP_Status,MI_SI_WLAN_WLC_HName,MI_SI_WLAN_AP_IfEnabled,MI_SI_WLAN_AP_Date_Install,MI_SI_WLAN_AP_Memo,MI_SI_WLAN_AP_Height,MI_SI_WLAN_AP_Floor,MI_SI_WLAN_AP_Maintenance
AP编号,AP描述,楼宇编号,AP名称,IP地址,分组,物理地址,序列号,型号,刻度,机柜名称,交换机名称,IP地址,交换机端口,线缆编号,位置,备注,状态,控制器,是否启用,安装日期,批次,MI_SI_WLAN_AP_Height,MI_SI_WLAN_AP_Floor,MI_SI_WLAN_AP_Maintenance














1,413-AP1,B413,SY2413-1TC-FACC1242-A,10.70.16.169,RMZA-B,70:81:05:92:80:a0,FGL1538U0AJ,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,413-TC-01,SY2413-1TCAC26PS24,10.70.28.25,Fa0/4,1D7a,ok,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
2,413-AP2,B413,SY2413-1TC-FACC1242-B,10.70.16.170,RMZA-B,70:81:05:f1:56:8c,FGL1538U0AA,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,413-TC-01,SY2413-1TCAC26PS24,10.70.28.25,Fa0/9,1D12a,ok,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
3,413-AP3,B413,SY2413-1TC-FACC1242-C,10.70.16.171,RMZA-B,70:81:05:f1:56:7e,FGL1538U09N,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,413-IC-01-S1,SY2413-1ICAC26PS24,10.70.28.23,Fa0/8,1D18a,ok,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
4,413-AP4,B413,SY2413-1TC-FACC1242-D,10.70.16.172,RMZA-B,70:81:05:f1:54:6a,FGL1538U08L,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,413-IC-01-S1,SY2413-1ICAC26PS24,10.70.28.23,Fa0/14,1D22a,ok,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
5,413-AP5,B413,SY2413-1TC-FACC1242-E,10.70.16.173,RMZA-B,70:81:05:f1:50:68,FGL1538U09K,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,413-TC-01,SY2413-1TCAC26PS24,10.70.28.25,Fa0/10,1C7a,ok,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
6,413-AP6,B413,SY2413-1TC-FACC1242-F,10.70.16.174,RMZA-B,70:81:05:92:af:d4,FGL1538U09U,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,413-TC-01,SY2413-1TCAC26PS24,10.70.28.25,Fa0/11,1D10a ,ok,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
7,413-AP7,B413,SY2413-1TC-FACC1242-G,10.70.16.175,RMZA-B,70:81:05:f1:55:d8,FGL1538U09D,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,413-IC-01-S1,SY2413-1ICAC26PS24,10.70.28.23,Fa0/15,1C17a ,ok,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
8,413-AP8,B413,SY2413-1TC-FACC1242-H,10.70.16.176,RMZA-B,70:81:05:92:af:8a,FGL1538U09H,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,413-IC-01-S1,SY2413-1ICAC26PS24,10.70.28.23,Fa0/16,1D21a,ok,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
9,610-AP1,B610,SY2610-1TC-FACC1242-A,10.70.16.177,FYT_TBL2,c8:4c:75:0b:e0:c6,FCW1422U0FZ,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,610-TC-02,SY2610-1TC02BC26PS48,10.70.28.12,Fa0/3,1J28h,ok,WLANSY2RCBR01WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
10,610-AP2,B610,SY2610-1TC-FACC1242-B,10.70.16.178,FYT_TBL2,70:81:05:f1:54:1e,FGL1524U088,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,610-TC-01,SY2610-1TC01AC26PS48,10.70.28.7,Fa0/8,1H32d,3A;near N4 and N5,WLANSY2RCBR01WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
11,610-AP3,B610,SY2610-1TC-FACC1242-C,10.70.16.179,FYT_TBL2,70:81:05:f1:50:7a,FGL1538U08U,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,610-TC-01,SY2610-1TC01AC26PS48,10.70.28.7,Fa0/9,1J32h,N2;poor signal,WLANSY2RCBR01WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
12,610-AP4,B610,SY2610-1TC-FACC1242-D,10.70.16.180,FYT_TBL2,70:81:05:f1:56:8e,FGL1538U08R,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,610-TC-01,SY2610-1TC01AC26PS48,10.70.28.7,Fa0/10,1H36d,1A,WLANSY2RCBR01WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
13,610-AP5,B610,SY2610-1TC-FACC1242-E,10.70.16.181,FYT_TBL2,c8:4c:75:0b:e3:c8,FCW1422U0G1,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,610-TC-02,SY2610-1TC02BC26PS48,10.70.28.12,Fa0/1,1J25d,Replace FGL1538U08V,WLANSY2RCBR01WLANSY2RFYT01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
14,610-AP6,B610,SY2610-1TC-FACC1242-F,10.70.16.182,FYT_TBL2,70:81:05:f1:53:e6,FGL1538U0A7,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,610-TC-02,SY2610-1TC02BC26PS48,10.70.28.12,Fa0/5,1G28i,ok,WLANSY2RCBR01WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
15,610-AP7,B610,SY2610-1TC-FACC1242-G,10.70.16.183,FYT_TBL2,70:81:05:92:80:40,FGL1538U0A5,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,610-TC-01,SY2610-1TC01AC26PS48,10.70.28.7,Fa0/13,1G36i,ok,WLANSY2RCBR01WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
16,610-AP8,B610,SY2610-1TC-FACC1242-H,10.70.16.231,FYT_TBL2,70:81:05:f1:56:84,FGL1538U0A4,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,610-TC-01,SY2610-1TC01AC26PS48,10.70.28.7,Fa0/12,1G32i,ok,WLANSY2RCBR01WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
